Internal ID,Product Code,Suggested Name,Website Category,Sub-brand,Description,Short Description,Certification,,
1129,FB02,1.2m x 1.2m Fire Blanket,Intunmescent & Fire Stopping,,"• Fully conforming to BS EN3
• Unique 3-ply material
• Rigid, attractive wipe-clean packs
","
Cost-effective and efficient, fire blankets are still a popular choice for deep fat fires . Manufactured from heavyweight cloth,our range of blankets are fully Kitemarkedto BS EN3.",,41,
1130,FB03,1.8m x 1.2m Fire Blanket,Intunmescent & Fire Stopping,,"• Fully conforming to BS EN3
• Unique 3-ply material
• Rigid, attractive wipe-clean packs

","Cost-effective and efficient, fire blankets are still a popular choice for deep fat fires. Manufactured from heavyweight cloth our range of blankets is fully Kitemarked to BS EN3.
",,67,
1131,FB04,1.8m x 1.75m Fire Blanket,Intunmescent & Fire Stopping,,"• Fully conforming to BS EN3
• Unique 3-ply material
• Rigid, attractive wipe-clean packs

","Cost-effective and efficient, fire blankets are still a popular choice for deep fat fires. Manufactured from heavyweight cloth our range of blankets is fully Kitemarked to BS EN3.
",,674,
1128,FB01,1m x 1m Fire Blanket,Intunmescent & Fire Stopping,,"Fully conforming to BS EN3
Unique 3-ply material
Rigid, attractive wipe-clean packs","Cost-effective and efficient, fire blankets are still a popular choice for deep fat fires. Manufactured from heavyweight cloth our range of blankets is fully Kitemarked to BS EN3.
",,53,
1607,SE08,Automatic Dry Powder 10kg Extinguisher,,,.,"<p>10kg Automatic Dry Powder extinguisher.</p>
<p>Automatic extinguishers are ideal for use in confined spaces including engine rooms, plant rooms and switchrooms.</p>
<ul>
<li>Fully refillable stored pressure units</li>
<li>Bracket included</li>
<li>68&deg;C red bulb supplied as standard &ndash; other temperatures available on request</li>
</ul>",,809,
1604,SE05,Automatic Dry Powder 1kg Extinguisher,,,.,"<p>1kg Automatic Dry Powder extinguisher.</p>
<p>Automatic extinguishers are ideal for use in confined spaces including engine rooms, plant rooms and switchrooms.</p>
<ul>
<li>Fully refillable stored pressure units</li>
<li>Bracket included</li>
<li>68&deg;C red bulb supplied as standard &ndash; other temperatures available on request</li>
</ul>",,811,
1605,SE06,Automatic Dry Powder 2kg Extinguisher,,,.,"<p>2kg Automatic Dry Powder extinguisher.</p>
<p>Automatic extinguishers are ideal for use in confined spaces including engine rooms, plant rooms and switchrooms.</p>
<ul>
<li>Fully refillable stored pressure units</li>
<li>Bracket included</li>
<li>68&deg;C red bulb supplied as standard &ndash; other temperatures available on request</li>
</ul>",,440,
1608,SE09,Automatic Dry Powder 4kg Extinguisher,,,.,"<p>4kg Automatic Dry Powder extinguisher.</p>
<p>Automatic extinguishers are ideal for use in confined spaces including engine rooms, plant rooms and switchrooms.</p>
<ul>
<li>Fully refillable stored pressure units</li>
<li>Bracket included</li>
<li>68&deg;C red bulb supplied as standard &ndash; other temperatures available on request</li>
</ul>",,1023,
1606,SE07,Automatic Dry Powder 6kg Extinguisher,,,.,"<p>6kg Automatic Dey Powder extinguisher.</p>
<p>Automatic extinguishers are ideal for use in confined spaces including engine rooms, plant rooms and switchrooms.</p>
<ul>
<li>Fully refillable stored pressure units</li>
<li>Bracket include</li>
<li>68&deg;C red bulb supplied as standard &ndash; other temperatures available on request</li>
</ul>",,484,
1602,SE03,Clean Agent 1kg Extinguisher,,,.,"<p>These Automatic Clean Agent extinguishers are designed for use on sensitive machinery and watercraft.</p>
<ul>
<li>Compact design</li>
<li>Ideal replacement for Halon units</li>
<li>Bracket and stainless steel strap included</li>
<li>5 year warranty</li>
</ul>",,803,
1603,SE04,Clean Agent 2kg Extinguisher,,,.,"<p>2kg Automatic Clean Agent extinguisher.</p>
<p>These Automatic Clean Agent extinguishers are designed for use on sensitive machinery and watercraft.</p>
<ul>
<li>Compact design</li>
<li>Ideal replacement for Halon units</li>
<li>Bracket and stainless steel strap included</li>
<li>5 year warranty</li>
</ul>",,409,
1276,FSEX1,Commander 1ltr AFF Foam,,,"• Fully CE marked
• Manufactured to BS EN3
• Fire rating certified by Lloyds Register
• Plastic base for protection
• Corrosion-resistant finish
• Polyethylene internal lining
• Brass spray nozzle
• Full range of spare parts available
",Foam is always an excellent choice for Class A and B fires. The 1 litre model is supplied with sturdy transport brackets.,,75,
1286,FSMEX1,Commander 1ltr AFF Foam,,,,,,,
1287,FSMEX2,Commander 2ltr AFF Foam,,,,,,,
2134,WCEX2,Commander 2ltr Wet Chemical,,,,,,,
1030,DPEX3,Commander 3kg ABC Dry Powder c/w Transport Bracket,Fire Extinguishers,Commander® Extinguishers,"• Fully CE marked
• Manufactured to BS EN3
• Fire rating certified by Lloyds Register
• Plastic base for protection
• Corrosion-resistant finish
• Full range of spare parts available
",ABC powder is a multi-purpose extinguishing medium with excellent knock-down properties. The range of common sizes includes the 3kg model with optional transport bracket – ideal for vehicle and ADR regulation applications. The all models are supplied with a protective plastic base with hose stowage socket.,,60,
1278,FSEX3,Commander 3ltr AFF Foam,Fire Extinguishers,Commander® Extinguishers,"• Fully CE marked
• Manufactured to BS EN3
• Fire rating certified by Lloyds Register
• Plastic base for protection
• Corrosion-resistant finish
• Polyethylene internal lining
• Brass spray nozzle
• Full range of spare parts available
","Foam is always an excellent choice for Class A and B fires. The increasingly popular 3 litre model combines light weight, compact design and a 13A/55B fire rating. ",,28,
1711,WSEX3A,Commander 3ltr Water PLUS,Fire Extinguishers,Commander® Extinguishers,"
• Fully CE marked
• Manufactured to BS EN3
• Fire rating certified by Lloyds Register
• Plastic base for protection
• Corrosion-resistant finish
• Polyethylene internal lining
• Brass spray nozzle
• Full range of spare parts available
","Water is the most popular extinguishing medium for Class A fires. The 3 litre Compact PLUS model combines light weight, compact design and outstanding performance, making it the obvious choice for nearly every Class A risk situation. ",,49,
1695,WCEX3,Commander 3ltr Wet Chemical,Fire Extinguishers,Commander® Extinguishers,"• Fully CE marked
• High quality lance and hose assemblies on both models
• Full range of spare parts available
• “Easy Clean” design
",The Commander range Wet Chemical extinguishers provide the ideal and effective answer to Class F fires. The 6 litre units have been designed to provide a hygienic “Easy Clean” solution to meet the demands of commercial kitchen environments. The 3 litre size is ideal for the smaller kitchen and can be easily removed from the bracket for cleaning. The stainless steel central strap holds the extinguisher firm and prevents accidental displacement.,,88,
